종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
199290,바이오프로테크,"2,930","0","0.00","0","0","0","0","0","0","0","500",원(KRW),"3,266,800","9,571,724,000",
222160,바이옵트로,"4,700","150","3.30","4,800","4,700","6,885","31,688,970","4,500","4,700","4,500","500",원(KRW),"5,637,326","26,495,432,200",
206950,볼빅,"4,495","270","6.39","4,495","4,310","30","139,370","4,695","4,695","4,310","500",원(KRW),"4,183,333","18,804,081,835",
215050,비엔디생활건강,"1,500","0","0.00","1,645","1,500","0","0","0","0","0","100",원(KRW),"2,121,666","3,182,499,000",
148780,비플라이소프트,"5,690","90","1.61","5,690","5,450","6,829","36,424,220","5,600","5,700","5,250","500",원(KRW),"4,745,720","27,003,146,800",
210120,빅텐츠,"6,500","570","9.61","6,500","0","1","6,500","6,500","6,500","6,500","500",원(KRW),"1,895,000","12,317,500,000",
266170,뿌리깊은나무들,"999","8","0.81","999","851","520","517,125","1,135","1,135","848","500",원(KRW),"5,603,977","5,598,373,023",
067370,선바이오,"17,300","200","1.17","17,300","17,200","3,465","60,359,750","17,500","18,400","16,900","500",원(KRW),"7,670,540","132,700,342,000",
258250,셀젠텍,"9,300","440","4.97","9,590","9,000","1,012","9,561,500","9,600","9,600","9,200","500",원(KRW),"4,054,339","37,705,352,700",
185190,수프로,"2,180","60","2.83","2,180","0","2","4,300","2,120","2,180","2,120","500",원(KRW),"3,695,450","8,056,081,000",
258540,스템랩,"15,850","200","1.28","15,900","15,150","292","4,540,550","14,800","15,850","14,800","500",원(KRW),"1,737,990","27,547,141,500",
260870,시그넷이브이,"23,200","100","0.43","23,250","23,200","10,869","248,967,850","23,500","23,500","22,700","500",원(KRW),"4,777,601","110,840,343,200",
