,rowID,등록일,구분,확진자,확진률,치명률,사망자,사망률,수정일
478,4562,2020-11-08,50-59,5017,18.29,18.29,22,4.60,null
479,4561,2020-11-08,60-69,4341,15.83,15.83,54,11.30,null
480,4560,2020-11-08,70-79,2193,8,8,155,32.43,null
481,4559,2020-11-08,80 이상,1183,4.31,4.31,241,50.42,null
482,4558,2020-11-08,여성,14600,53.23,53.23,226,47.28,null
483,4557,2020-11-08,남성,12827,46.77,46.77,252,52.72,null
484,4545,2020-11-07,0-9,720,2.64,2.64,0,0.00,null
485,4544,2020-11-07,10-19,1508,5.53,5.53,0,0.00,null
486,4543,2020-11-07,20-29,5292,19.4,19.4,0,0.00,null
487,4542,2020-11-07,30-39,3414,12.51,12.51,2,0.42,null
488,4541,2020-11-07,40-49,3695,13.54,13.54,4,0.84,null
489,4540,2020-11-07,50-59,4995,18.31,18.31,22,4.61,null
490,4539,2020-11-07,60-69,4317,15.82,15.82,54,11.32,null
491,4538,2020-11-07,70-79,2169,7.95,7.95,155,32.49,null
492,4537,2020-11-07,80 이상,1174,4.3,4.3,240,50.31,null
493,4536,2020-11-07,여성,14533,53.27,53.27,226,47.38,null
494,4535,2020-11-07,남성,12751,46.73,46.73,251,52.62,null
495,4523,2020-11-06,0-9,719,2.64,2.64,0,0.00,null
496,4522,2020-11-06,10-19,1503,5.53,5.53,0,0.00,null
497,4521,2020-11-06,20-29,5282,19.42,19.42,0,0.00,null
498,4520,2020-11-06,30-39,3399,12.5,12.5,2,0.42,null
499,4519,2020-11-06,40-49,3674,13.51,13.51,4,0.84,null
500,4518,2020-11-06,50-59,4986,18.33,18.33,22,4.62,null
501,4517,2020-11-06,60-69,4304,15.83,15.83,54,11.34,null
502,4516,2020-11-06,70-79,2158,7.94,7.94,155,32.56,null
503,4515,2020-11-06,80 이상,1170,4.3,4.3,239,50.21,null
504,4514,2020-11-06,여성,14494,53.3,53.3,225,47.27,null
505,4513,2020-11-06,남성,12701,46.7,46.7,251,52.73,null
506,4501,2020-11-06,0-9,719,2.64,2.64,0,0.00,null
507,4500,2020-11-06,10-19,1503,5.53,5.53,0,0.00,null
508,4499,2020-11-06,20-29,5282,19.42,19.42,0,0.00,null
509,4498,2020-11-06,30-39,3399,12.5,12.5,2,0.42,null
510,4497,2020-11-06,40-49,3674,13.51,13.51,4,0.84,null
511,4496,2020-11-06,50-59,4986,18.33,18.33,22,4.62,null
512,4495,2020-11-06,60-69,4304,15.83,15.83,54,11.34,null
513,4494,2020-11-06,70-79,2158,7.94,7.94,155,32.56,null
514,4493,2020-11-06,80 이상,1170,4.3,4.3,239,50.21,null
515,4492,2020-11-06,여성,14494,53.3,53.3,225,47.27,null
516,4491,2020-11-06,남성,12701,46.7,46.7,251,52.73,null
517,4479,2020-11-05,0-9,710,2.62,2.62,0,0.00,null
518,4478,2020-11-05,10-19,1496,5.53,5.53,0,0.00,null
519,4477,2020-11-05,20-29,5258,19.44,19.44,0,0.00,null
520,4476,2020-11-05,30-39,3375,12.48,12.48,2,0.42,null
521,4475,2020-11-05,40-49,3648,13.49,13.49,4,0.84,null
522,4474,2020-11-05,50-59,4958,18.33,18.33,22,4.63,null
523,4473,2020-11-05,60-69,4291,15.86,15.86,54,11.37,null
524,4472,2020-11-05,70-79,2149,7.94,7.94,154,32.42,null
525,4471,2020-11-05,80 이상,1165,4.31,4.31,239,50.32,null
526,4470,2020-11-05,여성,14423,53.32,53.32,225,47.37,null
527,4469,2020-11-05,남성,12627,46.68,46.68,250,52.63,null
528,4446,2020-11-04,0-9,709,2.63,2.63,0,0.00,null
529,4445,2020-11-04,10-19,1488,5.53,5.53,0,0.00,null
530,4444,2020-11-04,20-29,5237,19.45,19.45,0,0.00,null
531,4443,2020-11-04,30-39,3355,12.46,12.46,2,0.42,null
532,4442,2020-11-04,40-49,3625,13.46,13.46,4,0.84,null
533,4441,2020-11-04,50-59,4929,18.31,18.31,22,4.64,null
534,4440,2020-11-04,60-69,4276,15.88,15.88,54,11.39,null
535,4439,2020-11-04,70-79,2143,7.96,7.96,154,32.49,null
536,4438,2020-11-04,80 이상,1163,4.32,4.32,238,50.21,null
537,4437,2020-11-04,여성,14361,53.34,53.34,225,47.47,null
538,4436,2020-11-04,남성,12564,46.66,46.66,249,52.53,null
539,4424,2020-11-03,0-9,707,2.64,2.64,0,0.00,null
540,4423,2020-11-03,10-19,1485,5.54,5.54,0,0.00,null
541,4422,2020-11-03,20-29,5218,19.47,19.47,0,0.00,null
542,4421,2020-11-03,30-39,3330,12.42,12.42,2,0.42,null
543,4420,2020-11-03,40-49,3614,13.48,13.48,4,0.85,null
544,4419,2020-11-03,50-59,4909,18.31,18.31,22,4.66,null
545,4418,2020-11-03,60-69,4253,15.87,15.87,54,11.44,null
546,4417,2020-11-03,70-79,2133,7.96,7.96,153,32.42,null
547,4416,2020-11-03,80 이상,1158,4.32,4.32,237,50.21,null
548,4415,2020-11-03,여성,14304,53.36,53.36,223,47.25,null
549,4414,2020-11-03,남성,12503,46.64,46.64,249,52.75,null
550,4402,2020-11-02,0-9,704,2.63,2.63,0,0.00,null
551,4401,2020-11-02,10-19,1480,5.54,5.54,0,0.00,null
552,4400,2020-11-02,20-29,5201,19.46,19.46,0,0.00,null
553,4399,2020-11-02,30-39,3317,12.41,12.41,2,0.43,null
554,4398,2020-11-02,40-49,3607,13.49,13.49,4,0.85,null
555,4397,2020-11-02,50-59,4894,18.31,18.31,21,4.49,null
556,4396,2020-11-02,60-69,4242,15.87,15.87,53,11.32,null
557,4395,2020-11-02,70-79,2130,7.97,7.97,152,32.48,null
558,4394,2020-11-02,80 이상,1157,4.33,4.33,236,50.43,null
559,4393,2020-11-02,여성,14272,53.39,53.39,219,46.79,null
560,4392,2020-11-02,남성,12460,46.61,46.61,249,53.21,null
