,rowID,기준일,누적환진률,누적검사수,누적 검사 완료 수,치료중 환자 수,격리해제 수,사망자 수,확진자 수,검사 진행 수,결과 음성 수 ,수정일
272,88,20200328,2.5522335409,387925,371361,4523,4811,144,9478,16564,361883,
273,87,20200327,2.5797391511,376961,361742,4665,4528,139,9332,15219,352410,
274,86,20200326,2.6359702544,364942,350573,4966,4144,131,9241,14369,341332,
275,85,20200325,2.6590574416,357896,343618,5281,3730,126,9137,14278,334481,
276,84,20200324,2.7126570651,348582,333142,5410,3507,120,9037,15440,324105,2020-04-07 19:37:58.58
277,83,20200324,2.7126570651,348582,333142,5410,3507,120,9037,15440,324105,
278,82,20200323,2.7622623363,338036,324408,5684,3166,111,8961,13628,315447,
279,81,20200322,2.8045013239,331780,317240,5884,2909,104,8897,14540,308343,
280,80,20200321,2.8219560302,327509,311805,6085,2612,102,8799,15704,303006,
281,79,20200320,2.8730918280,316664,301139,6325,2233,94,8652,15525,292487,
282,78,20200319,2.9420857378,307024,291120,6527,1947,91,8565,15904,282555,
283,77,20200318,3.0121625056,295647,279301,6789,1540,84,8413,16346,270888,
284,76,20200317,3.0880579010,286716,269425,6838,1401,81,8320,17291,261105,
285,75,20200316,3.1733922083,274504,259533,7024,1137,75,8236,14971,251297,
286,74,20200315,3.2396602365,268212,251940,7253,834,75,8162,16272,243778,
287,73,20200314,3.3180003364,261335,243701,7300,714,72,8086,17634,235615,2020-03-14 10:34:07.07
288,72,20200313,3.4584993086,248647,230707,7402,510,67,7979,17940,222728,
289,71,20200312,3.6217442732,234998,217271,7470,333,66,7869,17727,209402,
290,70,20200311,3.8041745358,222395,203855,7407,288,60,7755,18540,196100,
291,69,20200310,3.9193080566,210144,191692,7212,247,54,7513,18452,184179,
292,68,20200309,4.1203393614,196618,179160,7165,166,51,7382,17458,171778,2020-03-09 13:29:59.59
293,67,20200308,4.2177578602,188518,169142,6954,130,50,7134,19376,162008,2020-03-09 13:35:51.51
294,66,20200307,4.2675428362,178189,158569,6605,118,44,6767,19620,151802,2020-03-09 13:36:26.26
295,65,20200306,4.3972345844,164740,142908,6134,108,42,6284,21832,136624,2020-03-09 14:05:01.01
296,64,20200305,4.6227481540,146541,124731,5643,88,35,5766,21810,118965,2020-03-09 14:06:01.01
297,63,20200304,4.9199855946,136707,108293,5255,41,32,5328,28414,102965,2020-03-09 14:06:59.59
